"Provider Number","Facility Name",City,State,"Zip Code","Certification Date","Medicare Census","Medicaid Census","Other Census","Total Residents","Program Participation Code","Hospital Based","Ownership Type","Multi-Facility Organization","Multi-Facility Organization Name","Number of AIDS Beds","Number of Alzheimer's Disease Beds","Number of Dialysis Beds","Number of Disabled Children/Young Adult Beds","Number of Head Trauma Beds","Number of Hospice Beds","Number of Huntington's Disease Beds","Number of Ventilator Beds","Number of Other Specialized Rehab Beds","Organized Residents' Group","Organized Family Member Group","Facility Conducts Experimental Research","Continuing Care Retirement Community (CCRC)","7 Day RN Waiver Date","7 Day RN Hrs Waived Per Week","24 Hr Licensed Nursing Waiver Date","24 Hr Licensed Nursing Hrs Waived Per Week","Nurse Aide Training and Competency Evaluation Program"
065344,"SUITES AT CLERMONT PARK CARE CENTER, THE",DENVER,CO,80222,2024-01-11,8,17,36,61,"SNF/NF Distinct Part",No,"Non-Profit - Nonprofit Corporation",Yes,"Christian Liv Comm Cappella Solutions",0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,"",0,"",0,No
065345,"SUITES AT SOMEREN GLEN CARE CENTER, THE",CENTENNIAL,CO,80122,2024-04-25,18,29,44,91,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",Yes,"Christian Living Communities",0,26,0,0,0,0,0,0,0,Yes,Yes,No,Yes,"",0,"",0,No
065347,"VALLEY VIEW HEALTH CARE CENTER, INC","CANON CITY",CO,81212,2024-05-15,0,53,3,56,"SNF/NF Dual Certification",No,"For Profit - Partnership",Yes,"Vivage Beecan",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065351,"HOLLY CARE CENTER",HOLLY,CO,81047,2024-08-28,3,20,6,29,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Vivage Beecan",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065354,"COLOROW HEALTH CARE LLC",OLATHE,CO,81425,2024-03-27,8,26,25,59,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Vivage Beecan",0,21,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065355,"SHARMAR VILLAGE SENIOR CARE COMMUNITY",PUEBLO,CO,81004,2025-02-27,5,30,13,48,"SNF/NF Distinct Part",No,"For Profit - LLC",No,"",0,0,0,0,0,6,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065356,"LIFE CARE CENTER OF COLORADO SPRINGS","COLORADO SPRINGS",CO,80910,2024-04-16,6,62,25,93,"SNF/NF Distinct Part",No,"For Profit - Corporation",Yes,"Life Care Centers of America",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065358,"LIFE CARE CENTER OF WESTMINSTER",WESTMINSTER,CO,80030,2025-05-01,3,35,39,77,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Life Care Centers of America",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065359,"BENT COUNTY HEALTHCARE CENTER","LAS ANIMAS",CO,81054,2025-05-01,1,29,15,45,"SNF/NF Dual Certification",No,"Government - County",No,"",0,19,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065360,"FOWLER HEALTH CARE",FOWLER,CO,81039,2024-03-13,3,22,9,34,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065361,"BROOKSIDE INN","CASTLE ROCK",CO,80104,2024-02-08,0,96,17,113,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,22,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065366,"PINE RIDGE REHABILITATION AND HEALTHCARE CENTER","PAGOSA SPRINGS",CO,81147,2024-01-10,0,31,14,45,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065367,"VILLAGE CARE AND REHABILITATION CENTER, THE",WESTMINSTER,CO,80021,2024-12-19,2,22,30,54,"SNF/NF Dual Certification",No,"Non-Profit - Church Related",Yes,"Covenant Liv Comm and Services",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065368,"LIFE CARE CENTER OF GREELEY",GREELEY,CO,80634,2024-07-16,15,40,16,71,"SNF/NF Distinct Part",No,"For Profit - Corporation",Yes,"Life Care Centers of America",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
065370,"LIFE CARE CENTER OF LITTLETON",LITTLETON,CO,80120,2024-11-07,8,48,33,89,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Life Care Center of America",0,0,0,0,0,0,0,0,40,Yes,No,No,No,"",0,"",0,No
065373,"BEAR CREEK SENIOR LIVING","COLORADO SPRINGS",CO,80904,2024-05-06,3,0,28,31,"SNF (Medicare) Only",No,"For Profit - Corporation",Yes,"Stellar Senior Living",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065376,"BROOKDALE GREENWOOD VILLAGE","GREENWOOD VILLAGE",CO,80111,2024-03-28,36,0,36,72,"SNF (Medicare) Only",No,"For Profit - Corporation",Yes,"Brookdale Senior Housing",0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,"",0,"",0,No
065377,"CENTRE AVE HEALTH AND REHABILITATION LLC","FORT COLLINS",CO,80526,2024-10-03,28,0,52,80,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Columbine Health Systems",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065378,"RIVERDALE POST ACUTE",BRIGHTON,CO,80601,2025-03-26,1,84,14,99,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,PACS,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065379,"ADARA LIVING",BROOMFIELD,CO,80020,2025-01-16,2,75,92,169,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,50,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065380,"VETERANS COMMUNITY LIVING CENTER AT FITZSIMONS",AURORA,CO,80045,2024-11-21,1,27,101,129,"SNF/NF Dual Certification",No,"For Profit - Individual",Yes,"Veterans Community Living Centers",0,21,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065381,"GRAND RIVER HEALTH CARE CENTER",RIFLE,CO,81650,2024-02-08,4,31,15,50,"SNF/NF Dual Certification",No,"Government - Hospital District",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
065382,"BROOKDALE SKYLINE","COLORADO SPRINGS",CO,80904,2025-04-17,20,0,28,48,"SNF (Medicare) Only",No,"For Profit - Corporation",Yes,"Brookdale Senior Living",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065384,"SANDROCK RIDGE CARE & REHABILITATION",CRAIG,CO,81625,2024-11-25,4,26,7,37,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,14,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065386,"COLORADO STATE VETERANS NURSING HOME - RIFLE",DENVER,CO,80203,2024-11-22,2,28,29,59,"SNF/NF Dual Certification",No,"Government - State",No,"",0,19,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065387,"CITY SCAPE REHABILITATION & CARE CENTER LLC",CARLSBAD,CA,92011,2024-07-16,0,49,5,54,"SNF/NF Dual Certification",No,"For Profit - Partnership",No,"",0,16,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065388,"SPRINGS AT ST ANDREWS VILLAGE, THE",AURORA,CO,80014,2024-03-27,13,0,17,30,"SNF (Medicare) Only",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065390,"CENTER AT CENTENNIAL, THE","COLORADO SPRINGS",CO,80907,2024-10-23,25,0,21,46,"SNF (Medicare) Only",No,"For Profit - Corporation",Yes,"Veritas Management",0,0,0,0,0,0,0,0,46,Yes,Yes,No,No,"",0,"",0,No
065391,"COLORADO VETERANS COMMUNITY LIVING CTR AT HOMELAKE","MONTE VISTA",CO,81144,2024-10-17,0,14,24,38,"SNF/NF Dual Certification",No,"Government - State",Yes,"State of Colorado",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065393,"ADVANCED HEALTH CARE OF AURORA",AURORA,CO,80012,2024-10-24,47,0,4,51,"SNF (Medicare) Only",No,"For Profit - Corporation",Yes,"Advanced Healthcare Corporation",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,Yes
065394,"BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME",FLORENCE,CO,81226,2024-06-06,1,22,28,51,"SNF/NF Dual Certification",No,"Government - State",No,"",0,20,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
065395,"SUITES AT HOLLY CREEK CARE CENTER, THE",CENTENNIAL,CO,80121,2024-11-21,0,0,24,24,"SNF (Medicare) Only",No,"Non-Profit - Nonprofit Corporation",Yes,"Christian Living Communities",0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,"",0,"",0,No
065396,"TRINIDAD REHABILITATION AND HEALTHCARE CENTER",TRINIDAD,CO,81082,2024-06-05,0,79,15,94,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,34,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065397,"GRACE POINTE CONT CARE SR CAMPUS, SKILLED NURSING",GREELEY,CO,80634,2023-11-16,50,0,0,50,"SNF (Medicare) Only",No,"For Profit - Individual",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065398,"VI AT HIGHLANDS RANCH SKILLED NURSING","HIGHLANDS RANCH",CO,80126,2024-09-19,5,0,17,22,"SNF (Medicare) Only",No,"For Profit - Corporation",Yes,"Classic Residence Mgmt Limited Partner",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065399,"RIO GRANDE REHABILITATION AND HEALTHCARE CENTER","LA JARA",CO,81140,2024-03-26,2,48,5,55,"SNF/NF Distinct Part",No,"For Profit - Corporation",Yes,"Centennial Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065400,"LAKEWOOD POST ACUTE AND REHABILITATION",FARMINGTON,UT,84025,2025-03-27,15,0,2,17,"SNF (Medicare) Only",No,"For Profit - LLC",Yes,PACS,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065401,"LIFE CARE CENTER OF STONEGATE",PARKER,CO,80134,2024-10-03,30,0,55,85,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Life Care Centers of America",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
065402,"NEURORESTORATIVE COLORADO",LITTLETON,CO,80127,2025-05-01,0,0,21,21,"SNF (Medicare) Only",No,"For Profit - Corporation",No,"",0,0,0,0,36,0,0,36,36,Yes,Yes,No,No,"",0,"",0,No
065403,"CENTER AT LINCOLN, LLC, THE",PARKER,CO,80134,2024-11-21,18,0,71,89,"SNF (Medicare) Only",No,"For Profit - LLC",Yes,Veritas,96,96,96,96,96,96,96,0,0,Yes,No,No,No,"",0,"",0,No
065404,"SLOAN'S LAKE REHABILITATION CENTER",DENVER,CO,80204,2024-01-23,40,0,0,40,"SNF (Medicare) Only",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065405,"PARKER POST ACUTE",PARKER,CO,80138,2024-01-23,0,84,27,111,"SNF/NF Distinct Part",No,"For Profit - Corporation",Yes,Eduro,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065407,"ADVANCED HEALTH CARE OF COLORADO SPRINGS","COLORADO SPRINGS",CO,80910,2024-08-15,21,0,4,25,"SNF (Medicare) Only",No,"For Profit - LLC",Yes,"New AHC Holdings LLC",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
065408,"LAKEWOOD VILLA",LAKEWOOD,CO,80215,2024-12-19,2,42,0,44,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Madison Creek Partners",0,57,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065409,"CONTINUING CARE AT WIND CREST","HIGHLANDS RANCH",CO,80129,2024-08-15,13,0,31,44,"SNF (Medicare) Only",No,"Non-Profit - Other Nonprofit",Yes,"Erickson Senior Living",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065410,"COLUMBINE COMMONS HEALTH AND REHAB LLC",WINDSOR,CO,80550,2025-04-17,12,0,39,51,"SNF (Medicare) Only",No,"For Profit - LLC",Yes,"Columbine Health Systems LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065411,"COTTONWOOD REHABILITATION AND HEALTHCARE CENTER",DURANGO,CO,81301,2024-11-21,11,0,24,35,"SNF (Medicare) Only",No,"For Profit - Partnership",Yes,"Centennial Healthcare",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065412,"GREEN HOUSE HOMES AT MIRASOL, THE",LOVELAND,CO,80537,2025-03-12,3,60,24,87,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Souther Administrative Services",0,0,0,0,0,0,0,0,0,Yes,No,No,No,2025-01-01,24,"",0,No
065413,"CENTER AT CORDERA, LLC, THE","COLORADO SPRINGS",CO,80924,2024-08-29,42,0,1,43,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Veritas Management Group",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065414,"COAL CREEK POST ACUTE & ASSISTED LIVING",LAFAYETTE,CO,80026,2024-02-29,39,0,0,39,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
065415,"PIKES PEAK POST ACUTE","COLORADO SPRINGS",CO,80909,2025-01-30,5,133,17,155,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Post Acute Care Solutions",0,65,0,0,0,12,0,0,0,Yes,No,No,No,"",0,"",0,No
065416,"CENTER AT NORTHRIDGE, LLC, THE",WESTMINSTER,CO,80234,2024-04-02,94,0,0,94,"SNF (Medicare) Only",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065417,"HEALTHCARE RESORT OF COLORADO SPRINGS, THE","COLORADO SPRINGS",CO,80904,2023-11-08,15,0,69,84,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
065418,"FOREST RIDGE HEALTH AND REHAB LLC","WOODLAND PARK",CO,80863,2024-05-23,1,52,23,76,"SNF/NF Dual Certification",No,"For Profit - Partnership",No,"",0,20,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065419,"CENTER AT LOWRY, LLC",DENVER,CO,80230,2024-02-23,74,0,7,81,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065420,"CASTLE PEAK SENIOR LIFE AND REHABILITATION",EAGLE,CO,81631,2024-09-19,6,28,9,43,"SNF/NF Dual Certification",No,"Non-Profit - Other Nonprofit",Yes,Cassia,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065424,"RIVER VALLEY REHABILITATION AND HEALTHCARE CENTER","DEL NORTE",CO,81132,2024-12-19,3,44,7,54,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,18,1,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065425,"CENTER AT FORESIGHT LLC, THE","GRAND JUNCTION",CO,81505,2024-04-30,31,0,20,51,"SNF (Medicare) Only",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,54,Yes,No,No,No,"",0,"",0,No
065427,"CENTER AT PARK WEST LLC, THE",PUEBLO,CO,81008,2024-08-01,28,0,26,54,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"Veritas Management Group",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065429,"ACCEL AT LONGMONT HEALTH AND REHAB, LLC",LONGMONT,CO,80503,2024-08-29,5,16,28,49,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065430,"AVIVA AT FITZSIMONS",AURORA,CO,80045,2024-10-08,14,0,30,44,"SNF (Medicare) Only",No,"For Profit - LLC",Yes,"Vivage Beecan",0,0,0,0,0,0,0,48,0,Yes,Yes,No,No,"",0,"",0,No
065431,"CENTER AT CENTERPLACE, LLC, THE",GREELEY,CO,80634,2024-04-25,15,0,15,30,"SNF (Medicare) Only",No,"For Profit - Corporation",Yes,"Veritas Management Group",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
065432,"KATHERINE AND CHARLES HOVER GREEN HOUSES",LONGMONT,CO,80503,2024-02-06,9,0,33,42,"SNF (Medicare) Only",No,"Non-Profit - Nonprofit Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,"",0,"",0,No
065435,"AHC OF LAKEWOOD, LLC",LAKEWOOD,CO,80215,2023-12-21,4,0,0,4,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
065436,"BLUESTEM VILLAGE","LA JUNTA",CO,81050,2024-09-05,56,0,0,56,"SNF (Medicare) Only",No,"Government - State",No,"",0,0,0,1,0,0,0,0,0,Yes,Yes,No,No,"",0,2023-11-22,24,No
06A172,"PARK FOREST CARE CENTER LLC",WESTMINSTER,CO,80030,2023-11-30,0,84,0,84,"NF (Medicaid) Only",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
06A173,"SEDGWICK COUNTY MEMORIAL NURSING HOME",JULESBURG,CO,80737,2023-12-13,0,9,11,20,"Nursing Facility (NF) - Medicaid Participation",No,"Government - County",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
06A175,"WALSH HEALTHCARE CENTER",WALSH,CO,81090,2024-01-24,0,16,4,20,"Nursing Facility (NF) - Medicaid Participation",No,"Government - Hospital District",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,2025-03-14,0,2025-03-14,0,No
06A185,"SOUTHEAST COLORADO HOSPITAL LTC",SPRINGFIELD,CO,81073,2024-11-21,0,33,9,42,"NF (Medicaid) Only",No,"Non-Profit - Nonprofit Corporation",No,"",0,16,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
06A190,"SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER",WALSENBURG,CO,81089,2024-12-05,0,19,52,71,"NF (Medicaid) Only",No,"Government - Hospital District",No,"",0,20,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
06A192,"CHEYENNE MANOR","CHEYENNE WELLS",CO,80810,2024-04-25,0,16,2,18,"Nursing Facility (NF) - Medicaid Participation",No,"Government - Hospital District",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075011,"AUTUMN LAKE HEALTHCARE AT WINDSOR",WINDSOR,CT,06095,2024-03-12,10,83,15,108,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075017,"MONTOWESE CENTER FOR HEALTH & REHABILITATION","NORTH HAVEN",CT,06473,2024-10-24,32,54,6,92,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,60,Yes,Yes,No,No,"",0,"",0,No
075031,"AUTUMN LAKE HEALTHCARE AT GLEN HILL",DANBURY,CT,06811,2023-05-23,14,65,9,88,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075034,"CAROLTON CHRONIC & CONVALESCENT HOSPITAL INC",FAIRFIELD,CT,06824,2023-02-07,17,54,43,114,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075044,"APPLE REHAB FARMINGTON VALLEY",PLAINVILLE,CT,06062,2023-03-08,15,97,20,132,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"APPLE REHAB",2,16,1,0,0,7,0,0,0,Yes,No,No,No,"",0,"",0,No
075047,"HEWITT HEALTH & REHABILITATION CENTER, INC",SHELTON,CT,06484,2025-05-19,12,83,23,118,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075057,"SKYVIEW REHAB AND NURSING",WALLINGFORD,CT,06492,2024-02-22,5,70,2,77,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075060,"SALMON BROOK REHAB AND NURSING",GLASTONBURY,CT,06033,2023-06-08,11,75,11,97,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075061,"STAMFORD CARE CENTER",STAMFORD,CT,06902,2023-09-15,13,95,17,125,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075063,"AVERY NURSING HOME/NOBLE BUILDING",HARTFORD,CT,06106,2023-08-08,6,124,39,169,"SNF/NF Dual Certification",No,"Non-Profit - Church Related",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
075064,"MILFORD HEALTH CARE CENTER INC",MILFORD,CT,06460,2024-06-04,43,59,11,113,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NATIONAL HEALTH CARE ASSOCIATES",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075070,"APPLE REHAB SAYBROOK","OLD SAYBROOK",CT,06475,2025-01-09,2,46,19,67,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"APPLE REHAB",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075074,"HAVENCARE AT FILOSA",DANBURY,CT,06810,2024-08-07,8,40,15,63,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075078,"WESTVIEW HEALTH CARE CENTER",DAYVILLE,CT,06241,2025-02-03,20,45,32,97,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
075079,"NORWICH SUB-ACUTE AND NURSING",NORWICH,CT,06360,2023-03-22,10,59,31,100,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075084,"VILLA MARIA NURSING AND REHABILITATION COMMUNITY",PLAINFIELD,CT,06374,2023-09-20,13,39,9,61,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"WACHUSETT HEALTHCARE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075085,"SAINT MARY HOME","WEST HARTFORD",CT,06117,2024-11-12,21,122,52,195,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",Yes,"TRINITY HEALTH SENIOR COMMUNITIES",0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
075089,"APPLE REHAB MIDDLETOWN",MIDDLETOWN,CT,06457,2024-10-07,4,44,20,68,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"APPLE REHAB",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075105,"TORRINGTON CENTER FOR NURSING & REHABILITATION LLC",TORRINGTON,CT,06790,2024-08-28,11,57,3,71,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"ESSENTIAL HEALTHCARE",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075109,"Hebrew Center For Health And Rehabilitation","WEST HARTFORD",CT,06117,2023-11-22,11,157,56,224,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"NATIONAL HEALTHCARE",0,30,0,0,0,0,0,0,224,Yes,Yes,No,No,"",0,"",0,No
075111,"WOLCOTT HALL NURSING CENTER INC",TORRINGTON,CT,06790,2025-02-08,6,28,17,51,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"APPLE HEALTHCARE, INC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
075113,"GREENTREE MANOR NURSING AND REHABILITATION CENTER",WATERFORD,CT,06385,2025-05-06,7,52,24,83,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"RYDERS HEALTH MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075117,"NATHANIEL WITHERELL, THE",GREENWICH,CT,06830,2024-08-06,36,107,37,180,"SNF/NF Dual Certification",No,"Government - City",No,"",0,40,2,0,0,3,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075135,"MASONICARE HEALTH CENTER",WALLINGFORD,CT,06492,2024-12-09,14,145,76,235,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",No,"",0,67,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,No
075138,"BLOOMFIELD CENTER FOR NURSING & REHABILITATION",BLOOMFIELD,CT,06002,2022-12-20,4,97,5,106,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075144,"APPLE REHAB GUILFORD",GUILFORD,CT,06437,2025-02-25,10,57,11,78,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"APPLE REHAB",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075146,"COMPLETE CARE AT MIDDLEBURY",MIDDLEBURY,CT,06762,2023-09-25,3,34,17,54,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075153,"VILLA AT STAMFORD, THE",STAMFORD,CT,06903,2024-07-30,26,65,22,113,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075158,"NEW LONDON SUB-ACUTE AND NURSING",WATERFORD,CT,06385,2025-03-27,12,86,9,107,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075159,"NORWALK CARE CENTER",NORWALK,CT,06850,2024-10-09,22,95,7,124,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
075163,"MASONICARE AT BISHOP WICKE HEALTH & REHABILITATION CENTER, INC",SHELTON,CT,06484,2024-02-21,26,44,41,111,"SNF/NF - Medicare/Medicaid",No,"Non-Profit - Nonprofit Corporation",Yes,"MASONICARE HEALTH CENTER",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
075181,"APPLE REHAB WATERTOWN",WATERTOWN,CT,06795,2024-06-18,7,64,32,103,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"APPLE REHAB",0,0,4,0,0,5,0,1,0,Yes,Yes,No,No,"",0,"",0,Yes
