Provider Number,Medicare Census,Medicaid Census,Other Census,Total Residents,Hospital Based,Ownership Type,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Overall Rating,Latitude,Longitude,low_rated
115427,1,32,7,40,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,30.8535,-83.937,1
115428,3,99,36,138,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,34.4921,-85.338,0
115429,3,54,5,62,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,31.9796,-83.778,0
115430,13,72,36,121,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.4525,-83.748,1
115431,7,65,28,100,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.7158,-85.141,1
115435,6,52,26,84,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,34.3477,-82.94,0
115436,17,42,26,85,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,34.014,-85.254,0
115443,14,88,2,104,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.5875,-85.061,0
115447,1,102,5,108,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,2.0,33.0527,-84.14,1
115449,5,40,20,65,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,34.3505,-82.919,0
115452,0,89,3,92,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.6978,-85.268,0
115455,2,36,14,52,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,32.8206,-83.079,0
115457,4,56,6,66,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.5835,-83.481,1
115460,9,102,37,148,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,33.4085,-84.596,0
115461,3,95,24,122,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,34.1802,-84.801,0
115463,18,106,20,144,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.4421,-84.154,1
115466,4,65,12,81,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,33.0042,-83.545,0
115467,8,78,12,98,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.9425,-83.429,1
115468,10,65,10,85,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.8571,-84.323,0
115469,21,105,31,157,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.6803,-83.999,0
115471,18,77,2,97,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,32.1861,-83.177,0
115473,2,133,12,147,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,33.703,-84.116,0
115474,2,53,10,65,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,33.0498,-83.557,0
115477,2,86,4,92,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,33.0553,-83.244,0
115478,3,24,7,34,No,Government - City/County,0,0,0,0,0,0,0,0,0,3.0,32.5678,-84.957,0
115479,4,53,11,68,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,32.3939,-83.355,1
115480,4,54,3,61,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,30.8005,-83.936,1
115481,7,64,4,75,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,32.0783,-84.67,0
115482,5,69,12,86,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.7535,-84.305,1
115483,5,48,3,56,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,1.0,31.7681,-84.431,1
115484,3,53,17,73,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,32.8762,-84.342,1
115487,2,44,36,82,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,34.3208,-83.801,0
115488,0,46,2,48,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,33.6264,-83.078,0
115490,10,24,37,71,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,33.8354,-84.63,1
115491,1,58,1,60,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.7055,-83.64,0
115492,8,80,33,121,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.9454,-85.228,0
115494,3,71,2,76,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.0597,-82.901,1
115495,6,61,16,83,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,32.5195,-82.92,1
115498,18,109,13,140,Yes,Government - Hospital District,0,0,0,0,0,0,0,0,0,2.0,30.7856,-83.577,1
115501,4,45,12,61,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,30.828,-83.971,1
115502,9,27,13,49,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,34.4859,-84.444,1
115503,5,39,9,53,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,31.643,-81.858,1
115504,24,92,30,146,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.9022,-84.348,1
115505,3,48,15,66,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,31.1306,-83.779,0
115506,4,57,11,72,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.6426,-84.637,1
115507,1,60,6,67,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,2.0,32.5461,-84.242,1
115508,4,65,12,81,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,34.232,-84.478,1
115509,8,66,22,96,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,1.0,33.9689,-83.415,1
115512,5,87,11,103,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.7877,-84.444,1
115513,9,61,2,72,Yes,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,31.5398,-82.464,0
115515,60,14,21,95,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,5.0,33.9906,-84.681,0
115516,13,107,2,122,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.9045,-84.159,1
115520,4,43,15,62,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,31.1755,-81.495,1
115521,25,71,9,105,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,1.0,33.9301,-84.507,1
115522,1,64,6,71,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,1.0,32.3908,-81.962,1
115523,7,55,3,65,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,32.7233,-84.017,0
115524,7,0,55,62,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,33.5238,-82.124,0
115525,1,279,30,310,Yes,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,1.0,33.6798,-84.415,1
115528,1,73,3,77,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,33.3743,-84.809,0
115529,2,42,10,54,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.2689,-84.265,1
115531,16,79,22,117,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,33.7817,-84.344,0
115532,10,36,10,56,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.6651,-83.713,1
115533,6,58,9,73,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,32.4887,-82.3,0
115534,11,30,29,70,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.0157,-81.079,0
115535,4,199,2,205,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.5994,-84.322,1
115536,12,109,21,142,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.9807,-83.71,1
115537,17,107,5,129,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.2226,-84.27,1
115538,45,113,25,183,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.8597,-84.654,1
115539,6,2,73,81,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.5784,-84.383,1
115540,2,79,1,82,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.5843,-82.16,1
115541,4,62,3,69,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,32.1109,-83.495,1
115542,1,129,22,152,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,1.0,33.7641,-84.451,1
115543,11,31,24,66,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,2.0,34.1973,-84.787,1
115544,0,92,5,97,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,32.7459,-81.65,1
115545,28,77,7,112,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,4.0,33.5378,-84.304,0
115547,7,72,0,79,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.1504,-81.166,0
115550,2,42,8,52,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,32.0377,-84.392,1
115551,45,16,25,86,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,34.1969,-84.152,0
115552,52,54,0,106,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,32.5951,-83.637,0
115553,0,55,17,72,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,31.8221,-81.393,1
115554,0,34,6,40,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,31.1678,-81.492,0
115555,11,96,7,114,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,1.0,33.6798,-84.426,1
115556,31,69,23,123,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,33.2409,-84.35,0
115558,1,16,11,28,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.8375,-85.564,0
115559,4,11,40,55,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.6268,-83.804,0
115560,6,39,5,50,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.5431,-83.758,0
115561,6,89,5,100,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.8616,-84.2,1
115562,4,63,19,86,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,30.8638,-83.283,1
115563,16,117,48,181,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.302,-83.976,1
115565,37,94,1,132,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.8168,-84.178,0
115566,14,98,27,139,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,32.5355,-84.906,1
115568,4,66,7,77,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,31.9778,-83.772,0
115569,6,83,7,96,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.678,-84.415,1
115570,19,47,9,75,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,3.0,30.8245,-83.978,0
115571,15,79,18,112,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,34.1799,-84.787,1
115573,15,116,38,169,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,33.555,-84.525,1
115575,3,52,17,72,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.0827,-82.109,1
115576,0,84,3,87,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,32.6877,-84.74,0
115577,8,38,6,52,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,31.6176,-81.898,1
115578,2,82,7,91,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,33.0546,-83.246,0
115579,3,53,9,65,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.6557,-84.446,1
115580,8,73,4,85,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.9169,-84.554,1
115582,7,29,16,52,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,31.1694,-81.383,0
115584,4,89,24,117,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,34.5323,-84.943,0
115586,1,47,8,56,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,32.2856,-83.483,1
115587,2,33,11,46,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.8036,-85.185,1
115588,6,30,24,60,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.5953,-83.87,0
115592,6,40,5,51,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.7994,-85.186,1
115593,15,40,4,59,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,31.2022,-81.995,0
115595,2,57,10,69,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,33.3269,-83.346,0
115596,79,40,9,128,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,33.8476,-84.213,1
115597,3,48,5,56,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,32.4438,-81.759,0
115598,5,40,9,54,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,32.1654,-81.897,0
115599,1,52,5,58,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,32.3286,-84.525,0
115600,4,74,10,88,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.1358,-84.0,0
115601,5,39,12,56,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.4575,-81.799,0
115603,0,63,4,67,Yes,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,32.8908,-84.684,0
115604,6,37,13,56,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.443,-81.786,1
115605,4,58,7,69,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,31.2343,-82.358,0
115606,7,62,3,72,Yes,Government - County,0,0,0,0,0,0,0,0,0,2.0,34.2471,-84.492,1
115607,2,54,0,56,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,1.0,30.8934,-84.324,1
115608,12,60,0,72,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.5993,-83.252,0
115610,11,0,3,14,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,5.0,32.0286,-81.101,0
115611,7,109,13,129,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,5.0,31.5145,-82.863,0
115612,13,81,14,108,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,32.6311,-83.644,0
115613,5,54,6,65,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,33.238,-82.6,0
115614,3,47,8,58,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,31.7314,-84.164,0
115615,21,132,23,176,No,Non-Profit - Church Related,0,0,0,0,0,0,0,0,0,4.0,31.2142,-82.405,0
115616,2,39,9,50,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,33.2732,-85.1,0
115617,6,55,9,70,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,31.7289,-83.247,0
115618,0,35,6,41,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,32.4383,-81.787,0
115619,5,71,12,88,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,31.9439,-81.926,1
115621,6,62,20,88,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,31.955,-81.325,1
115622,6,71,4,81,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,32.2162,-83.177,1
115624,22,62,41,125,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,32.025,-81.053,1
115625,2,144,15,161,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,31.5902,-84.154,0
115626,2,44,7,53,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,31.867,-82.601,1
115627,1,42,12,55,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.4443,-84.001,0
115628,16,172,11,199,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,31.6028,-84.169,1
115629,4,95,6,105,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.5294,-83.824,0
115630,4,64,3,71,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,30.837,-82.012,1
115631,2,56,2,60,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.9759,-83.396,0
115633,6,41,2,49,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.0178,-80.846,1
115635,2,61,14,77,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,31.0404,-82.745,1
115636,9,49,26,84,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,32.7402,-83.678,1
115638,15,68,8,91,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.515,-85.089,1
115641,31,99,30,160,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,1.0,32.0028,-81.064,1
115642,1,61,9,71,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,32.4032,-82.065,0
115643,16,79,59,154,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.8378,-84.008,1
115644,4,46,8,58,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,5.0,33.3446,-82.127,0
115647,10,90,30,130,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.6952,-84.272,0
115649,7,0,6,13,Yes,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,33.0882,-83.245,0
115651,5,37,3,45,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.5501,-83.883,0
115652,0,53,3,56,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,2.0,32.7954,-83.694,1
115654,2,78,5,85,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,31.7107,-83.273,1
115655,17,58,11,86,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,31.1079,-83.426,0
115656,1,55,3,59,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.8419,-83.572,0
115657,6,48,7,61,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,32.6402,-83.631,1
115658,2,63,0,65,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,33.0292,-84.735,0
115659,20,28,34,82,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.9763,-84.007,1
115660,6,57,57,120,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,1.0,33.9688,-84.557,1
115663,26,41,20,87,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,34.7843,-84.986,1
115665,5,70,7,82,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,1.0,31.7196,-81.731,1
115667,3,42,9,54,No,Government - Hospital District,0,0,0,0,0,0,0,0,0,3.0,31.1281,-83.768,0
115668,4,52,0,56,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,31.1368,-83.783,0
115670,21,58,24,103,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,1.0,33.7065,-84.005,1
115671,1,50,5,56,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,32.5317,-82.586,0
115672,1,61,20,82,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,33.4777,-82.009,0
115673,45,34,3,82,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,33.511,-84.226,0
115674,11,70,2,83,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.7755,-84.369,1
115675,0,36,15,51,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,33.3138,-83.687,0
115676,7,85,27,119,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,31.4728,-83.503,1
115677,5,37,11,53,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.4776,-84.569,0
115679,3,50,28,81,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,32.862,-82.407,1
115680,1,0,30,31,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,1.0,32.8796,-83.739,1
115681,4,81,9,94,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,33.0002,-82.408,1
115682,60,54,55,169,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,33.8022,-84.332,0
115683,40,30,29,99,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,34.6778,-84.493,0
115684,5,42,19,66,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,30.7323,-81.557,1
115686,8,50,8,66,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,34.0141,-82.78,1
115687,4,0,31,35,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,5.0,34.3775,-83.872,0
115688,12,53,12,77,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,34.8804,-83.389,1
115689,12,61,5,78,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,34.5297,-83.985,1
115690,2,21,8,31,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,34.038,-84.063,0
115691,0,44,0,44,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,32.9884,-82.802,1
115692,7,68,3,78,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.8301,-83.664,0
115694,5,0,29,34,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.8016,-84.138,0
115695,14,70,27,111,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,34.8844,-83.96,1
115696,2,50,1,53,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,31.6038,-85.05,1
115697,3,68,30,101,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,1.0,33.7035,-84.548,1
115700,2,59,15,76,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,32.7977,-81.943,1
115701,4,66,21,91,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,1.0,34.9472,-83.749,1
115702,1,42,13,56,Yes,Government - County,0,0,0,0,0,0,0,0,0,4.0,32.9961,-82.806,0
115703,4,36,2,42,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.1815,-82.675,1
115704,5,36,3,44,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,32.5929,-82.346,0
115705,8,85,3,96,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,32.2105,-82.377,0
115706,6,27,5,38,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,34.4682,-84.616,1
115707,0,55,0,55,Yes,Government - Hospital District,0,0,0,0,0,0,0,0,0,4.0,31.0414,-83.084,0
115708,14,36,24,74,No,Non-Profit - Church Related,0,0,0,0,0,0,0,0,0,4.0,32.5234,-83.722,0
115709,8,75,10,93,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,4.0,33.0561,-84.997,0
115710,9,49,1,59,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,34.2181,-83.475,1
115711,1,50,4,55,Yes,Government - Hospital District,0,0,0,0,0,0,0,0,0,2.0,30.9039,-84.554,1
115712,4,46,15,65,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,2.0,31.05,-84.881,1
115713,1,19,8,28,Yes,Government - County,0,0,0,0,0,0,0,0,0,4.0,31.6028,-83.25,0
115714,2,78,3,83,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,34.2191,-83.469,0
115715,2,0,12,14,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,31.943,-81.055,0
115716,4,0,30,34,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,32.5485,-84.995,0
115717,4,65,12,81,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,33.7011,-84.426,0
115718,4,0,5,9,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,31.2249,-81.381,0
115719,11,48,23,82,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,34.2996,-85.177,1
115720,12,68,12,92,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,34.2592,-85.111,1
115721,8,82,37,127,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,31.1752,-81.483,1
115722,4,43,18,65,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,33.377,-84.765,0
115723,41,20,0,61,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,34.0322,-84.056,0
115724,2,45,11,58,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,34.5217,-83.975,0
115725,8,28,20,56,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,33.5017,-82.08,0
115726,8,49,15,72,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,5.0,32.22,-82.432,0
115727,2,2,87,91,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.676,-83.324,0
115728,2,84,3,89,No,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,3.0,32.7856,-83.659,0
115729,6,40,7,53,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,34.0069,-85.043,0
115730,4,64,8,76,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,32.0167,-80.844,1
115732,4,240,2,246,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,1.0,33.0407,-83.219,1
115733,3,54,1,58,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,31.9924,-83.305,1
115771,27,88,26,141,No,For Profit - Partnership,0,0,0,0,0,0,0,0,0,1.0,33.8583,-84.038,1
115772,50,50,0,100,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,1.0,33.9407,-83.961,1
115773,6,0,17,23,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,33.8179,-84.38,0
115774,15,0,12,27,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,5.0,34.2873,-85.199,0
115775,5,0,25,30,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,2.0,33.949,-83.423,1
115776,7,62,3,72,Yes,Government - County,0,0,0,0,0,0,0,0,0,2.0,30.8645,-84.201,1
115777,4,47,3,54,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.4311,-82.013,1
11A186,0,22,2,24,Yes,Government - State,0,0,0,0,0,0,0,0,0,2.0,33.6892,-84.247,1
11A200,0,16,1,17,No,Government - State,0,0,0,0,0,0,0,0,0,5.0,33.3739,-82.026,0
125002,4,46,0,50,No,Government - State,0,0,0,0,0,0,0,11,0,4.0,19.7174,-155.11,0
125003,0,85,4,89,Yes,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,20.7012,-156.36,0
125004,12,51,11,74,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,21.9789,-159.37,0
125009,0,57,27,84,No,Government - State,0,0,0,0,0,0,0,0,0,5.0,21.3297,-157.86,0
